Title,From,To,Year,Biography,Residency Statement,Artwork Images Credits,Source
Nine Plus Five Works,12 January,10 March,2024,"<p>Michel Auder (b. 1945, France) is a filmmaker who has been creating experimental movies and video art since the late 1960s. Auder is a poet of visual observation—his films bear an affinity to literary forms and can best be described as filmic poetry. He is known for his non-linear and non-narrative style, capturing his life and the lives of those around him in an intimate and fragmented manner.</p><p>Auder’s work often blurs the lines between art, documentation, and personal narrative, the diaristic and oneiric. Throughout his career, he has produced a significant body of work ranging from fictional narratives to personal documentaries. Auder’s early adoption of the portable video camera allowed him to document the everyday phenomena of his own private experiences, with a directness that was revolutionary at the time and that is still radical after many decades.</p>","<p>“Nine Plus Five Works” (2024) inaugurated Bangkok Kunsthalle through two interwoven trajectories: five works engaging nature and nine tracing the evolution of Michel Auder across genres. The exhibition unfolded as both a promenade through the building and a parcours through Auder’s life.</p><p>In the first group, Auder frames his relationship to nature through time. Representing natural phenomena required a specific editing technique capable of accommodating their nuanced temporality.</p><p>In “Voyage to the Centre of the Phone Lines” (52 min, 1993), he juxtaposes covert recordings of anonymous mobile phone conversations with a seascape of sand, water, sun, moon, and birds. The images evoke timeless nature, while the audio reveals mundane human drama, anxieties, and mortality.</p><p>“Domaine de la Nature” (51 min, 2023), originally conceived for Domaine des Etangs in France, collages natural scenery through long pans and slow rhythm. Dissatisfied with his archive, Auder filmed new footage over four years to properly document natural phenomena.</p><p>“I am So Jealous of Birds II” (2011) becomes a video haiku of New York birds, while “Flowers of Thailand” (2023), produced in Bangkok, is a two-screen installation evoking an epistolary exchange between form and color.</p><p>The second trajectory presents chronicles, travelogues, diaries, portraits, and poems that reveal Auder’s distinctive editing, allowing multiple narratives to emerge.</p><p>“Bangkok Yaowarat” (13 min, 2024) captures Bangkok street life in Chinatown, focusing on the seamless choreography of a postal service where boxes arrive and depart in orderly flow without instruction.</p><p>Video portraits such as “Cindy Sherman” (42 min, 1988), “Florence” (59 min, 1979), and “Alice Neel Painting Margaret” (41 min, 1978/2009) offer poetic documentations of artists at work.</p><p>Other works adopt intimate or musical forms: “Heads of Town” (3 min, 2009), “Van Gogh” (2023), “Gemälde” (2011/2019), and “Bangkok City” (2023).</p><p>Finally, “DAUGHTERS” (2023) combines “Talking Head” (1976) with a recent inversion of foreground and background, layered with words by Natalie Brück, creating a simultaneously menacing and seductive sonic presence.</p>","Michel Auder, Nine Plus Five Works, 2024. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Preecha Pattara / Samatcha Apaisuwan.",1
nostalgia for unity,31 May,31 October,2024,"<p>Korakrit Arunanondchai (b. 1986, Thailand) is a visual artist and filmmaker currently based in New York and Bangkok. His recent solo exhibitions include those at Moderna Museet in Stockholm, Art Sonje Center in Seoul, and Singapore Art Museum in Singapore (2022), Migros Museum für Gegenwartskunst in Switzerland (2021), Serralves Museum in Porto (2020), and Vienna Secession (2019).</p><p>Arunanondchai’s work has been presented at numerous biennials and festivals, with recent presentations at the Thailand Biennale, Chiang Rai (2023), Kathmandu Triennale (2022), Gwangju Biennial (2021), Yokohama Triennial (2020), the Venice Biennale, and the Whitney Biennial (2019). In early 2018, Arunanondchai co-founded “Ghost”, a time-based media festival that happens every three years in Bangkok. He curated its inaugural series, “Ghost:2561” (2018), and organized the second edition, “Ghost:2565” (2022), and the third, “Ghost:2568” (2025).</p>","<p>In “nostalgia for unity” (2024), a site-specific commission for the vast hall of Bangkok Kunsthalle, Korakrit Arunanondchai departs from visual accumulation in favor of a radically stripped-down expression. The exhibition unfolds as a minimalist gesture in which dreams and memories share a ritual structure within cyclical temporality.</p><p>For this work, he rebuilds the entire floor using ashes and burned residues of books salvaged from the fire that partially destroyed the former Thai Watana Panich publishing house in the early 2000s. The installation distills his spiritual inquiry to an elemental state: a continuous surface of compacted ashes functioning as ground and as a mode of inhabiting space, at once temple and liturgy. What remains is not an image to contemplate but a space to traverse. The sculptural floor becomes a metaphor for renewal, rising from remnants like a phoenix.</p><p>Along its perimeter, a poem is embossed into the ground. Difficult to read, it demands bodily encounter, revealed through circular movement and proximity. As visitors move, the text unfolds as ritual prayer and spatial threshold, tracing passages between speech and silence, visible and unseen, embodied presence and ghostly forces. Language does not describe the work but activates it, merging temporalities and agencies. Conceived as ritual rupture, the text collapses past, present, and future into coexistence.</p><p>The choreography of artificial light plays a decisive role in shaping the atmosphere. Filtered through stained yellow glass and haze, it produces a muted glow that recalls both science fiction and contemporary ecological conditions. The mist situates the viewer within a liminal state suspended between catastrophe and transcendence.</p><p>Operating as installation, film set, stage, and poem, the work revisits Arunanondchai’s concerns: beginning and end, decay and regeneration, individual transformation and shared spirituality. Activated through performances including “A Collective Haunting” and “From dust to dust” by Tosh Basco, the floor ultimately holds destruction and renewal within an ongoing cycle of becoming.</p><p>At the core of the visitor’s journey, the floor holds the memory of destruction alongside the promise of renewal, suspended within an ongoing cycle of becoming. Its ashes carry both the nostalgia for what has disappeared and the anticipation of a unity yet to arrive.</p>","Korakrit Arunanondchai, nostalgia for unity, 2024. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Samatcha Apaisuwan / Artit Punyanutaruk. Tosh Basco, From dust to dust, 2024, performance. Photo by Puttisin Choojesroom.",1
MEND PIECE,30 August,22 December,2024,"<p>Since emerging onto the international art scene in the early 1960s, Yoko Ono (b. 1933, Japan) has made profound contributions to visual art, performance, filmmaking, and experimental music. Born in Tokyo in 1933, she moved with her family to New York in the mid-1950s and enrolled at Sarah Lawrence College. Over the next decade she lived in New York, Tokyo, and London, greatly influencing the international development of Fluxus and Conceptual art.</p><p>Ono’s earliest works were often based on instructions that she communicated to the public in verbal or written form. “Painting to Be Stepped On” (1960 - 1961), for example, invited people to tread upon a piece of canvas placed directly on the floor, either physically or in their minds. Though easily overlooked, the work radically questioned the division between art and the everyday. In 1964, she compiled more than 150 of her instructions in her groundbreaking artist’s book, “Grapefruit”. The instructions range from feasible to improbable, often relying upon the reader’s imagination to complete the work. At turns poetic, humorous, unsettling, and idealistic, Ono’s early instruction pieces anticipated her later work, such as “Cut Piece” (1964), a performance in which people were invited to cut away portions of her clothing; “Sky Machine” (1966), a sculpture that speaks to her environmental concerns; and “To See the Sky” (2015), a spiral staircase installed beneath a skylight that visitors were invited to ascend in order to contemplate the sky.</p>","<p>The 1960s was a time of social change as well as the breaking of artistic conventions. From this wealth of intellectual and radical thought, Yoko Ono formed her early artistic practice. Conceived in 1966, “MEND PIECE” emerged as an early exploration of participatory art, challenging the very definition of what art can be.</p><p>In this work, Ono invites participants to take a seat and mend the ceramic shards using the materials provided. Fundamental to the work is the notion of healing through communal mending—a practice in collective meditation and mindfulness. The participants become an agent in the creation of art, but more than that, of healing. The mending of ceramic then becomes an analogue for the mending of all things, whether tangible or intangible, personal or universal.</p><p>In the context of Bangkok Kunsthalle, “MEND PIECE” takes on new meaning. The themes of mending and collectivity form the crux of Bangkok Kunsthalle’s program: mending an abandoned building, strengthening the local community, and uniting disparate individuals. The work references the Japanese practice of “kintsugi,” or the art of repairing broken pottery with metallic lacquer. The underlying philosophy of “kintsugi” is an embracing of an object’s flaws and history, echoed by the physical situation of the work in a formerly abandoned printing house.</p>","Yoko Ono, MEND PIECE, A4 Arts Foundation, Cape Town version, 1966/2018. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Andrea Rossetti / Wison Tungthunya.",1
Like Nouns Slipping Into Verbs,10 January,30 March,2025,"<p>Richard Nonas (1936–2021, USA) was born in New York and studied literature before turning to social anthropology. He spent a decade conducting fieldwork among American intelligence Indians, an experience that profoundly shaped his later sculptural practice and his understanding of spatial perception. In the mid-1960s, at age 30, he shifted to sculpture, developing a Minimalist vocabulary centered on the idea of place.</p><p>During the 1970s, Nonas was part of a group of artists and curators seeking alternative exhibition spaces. His works, using timbers, beams, granite curbstones, and steel planes, often rest directly on the ground. Less formal objects than spatial markers, they interrupt and activate space, revealing the interdependence of sculpture and site while generating philosophical and emotional resonance.</p>","<p>During his decade-long career as an anthropologist, Richard Nonas conducted fieldwork among several Native American tribes, including the Tohono Oʼodham of Mexico. From them, he encountered a cultural framework for understanding space through “markers,” objects whose meanings shift according to physical context and the individual engaging with them.</p><p>Nonas often invoked the analogy of a cactus in the desert. For one person, it might hold a private memory; for another, it serves as a landmark or navigational device; for others, it carries a folktale and becomes part of collective memory. The potency of his sculptures lies in this ambiguity and rejection of fixed semantics. Their meanings remain malleable, in flux.</p><p>His sculptures, primarily minimal rectangular and linear forms in metal and wood, function as spatial markers themselves, like the cactus. Paired with a space, they prompt impressions and memories. Central to his practice is the transformation of space into place. Alongside place-making, Nonas embraced ambiguity and liminality, emphasizing tensions between space and place, recognizable and abstract form, physical and imagined space, memory and reality.</p><p>The works exhibited at Bangkok Kunsthalle fall into two categories: linear and rectangular forms. The linear constructions demarcate the borders of imagined places, exemplified by “Boundary Man” (1974). Composed of two perpendicular steel lines, 17 and 14 meters long, the work intersects two rooms, extending through partitions to delineate boundaries of a place that cannot physically exist. Its scale denies a singular viewpoint; viewers must move through space and rely on memory to complete the scene, generating ambiguity between past and present, reality and recollection.</p><p>Complementing these are low-lying rectangular steel forms that act as monuments within an imagined landscape. Their abstract geometry may recall a childhood floorplan, Mesoamerican platforms, or an altar. The exhibition space shifts between nostalgia, archaeology, and ritual, making locality and positioning as crucial as the objects.</p><p>Housed in the abandoned Thai Watana Panich building, Bangkok Kunsthalle offers an ideal stage. Its repurposed architecture echoes the liminality of Nonas’ sculpture, occupying a front lobby poised between space and place.</p>","Richard Nonas, Like Nouns Slipping Into Verbs, 2025. Installation view, Bangkok Kunsthalle. Courtesy of The Richard Nonas Estate and Bangkok Kunsthalle. Photo by Puttisin Choojesroom / Krittawat Atthsis.",1
Calligraphic Abstraction,1 February,13 July,2025,"<p>Tang Chang (1934 - 1990, Thailand) was a Bangkok-born, Sino-Thai artist, painter, philosopher, poet, and scholar. Born into a modest Chinese merchant family, he was educated at a temple school until the outbreak of the Second World War ended his formal education. He began drawing and painting soon after. Although his early work was realist in nature, Chang later turned toward abstraction, initially encountering Western modernism.</p><p>Chang’s mature artistic direction was shaped less by Western models than by his deep engagement with Theravada Buddhism and Chinese philosophies, particularly Daoism and Chan Buddhism. These traditions informed an artistic practice in which spiritual inquiry and visual form were inseparable.</p>","<p>Tang Chang was a Bangkok born, Sino-Thai artist, painter, philosopher, poet and scholar. His life-long engagement with Chinese philosophies and spirituality informed his art to the point where there was no distinction between his spiritual and artistic practice. “Calligraphic Abstraction” (2025) presented at Bangkok Kunsthalle provides a typological excerpt of Chang’s oeuvre, focusing on the ambiguity of calligraphy and abstraction.</p><p>The selected works on the ground floor were made in the span of two years, from 1971 to 1972, an incredibly prolific moment in Chang’s career. Within this calligraphic mode, the exhibition presents two further typologies: the character refers to a singular unit, bordering on recognizability as a Chinese character, and the poem employs the aesthetic syntax of Chinese poetry as an artistic unit.</p><p>Chang’s calligraphic works investigate semiotic and semantic ambiguity. Many dissociate linguistic comprehensibility from the visual unit itself. He engages language and symbols not linguistically but spiritually. Their spiritual quality lies in the slippage between legibility and obscurity, calligraphy and painting, mundane and mystic, word and gesture, form and non-form. For Chang, painting can be understood as a heuristic spiritual practice. Repetition emerges as a central pattern. Explorations of mark-making become analogues for introspection. From frenzied dry brushstrokes to elegant sweeping lines, these gestures probe different states of mind.</p><p>Ascending the staircase, visitors encounter the largest painting in Chang’s oeuvre. His abstraction developed at the intersection of modern abstraction and Chinese philosophy. In monochromatic works, Daoist ideals of harmony and naturalness are expressed through Buddhist mindfulness and meditation. The result is both a cultivation of wisdom for the artist and its transmission to the viewer.</p><p>In collaboration with Restaurateurs Sans Frontières, Bangkok Kunsthalle gradually restored this monumental painting over the course of the exhibition. The restoration becomes both performance and healing, central to the institution’s program. A curator-led tour and a visit to The Tang Chang Private Museum further extend the dialogue, reaffirming the legacy of one of Thailand’s lost masters.</p>","Tang Chang, Calligraphic Abstraction, 2025. Installation view, Bangkok Kunsthalle. Courtesy of The Tang Chang Private Museum and Bangkok Kunsthalle. Photo by Puttisin Choojesroom.",1
Painting as Event,30 March,4 May,2025,"<p>Xie Fan (b. 1983, China)'s work is rooted in the exploration of permeation, the way color seeps into and bonds with its ground. His early silk paintings investigated translucency and absorption, while his more recent engagement with terracotta highlights the porous, earthen qualities of the material. By layering mineral pigments and oxides onto raw clay before firing, he allows high kiln temperatures to trigger unpredictable chemical reactions, embedding a sense of chance and transformation into each piece. This process recalls both the alchemical nature of ceramics and the historical intersections between painting and sculpture.</p><p>Through these material investigations, Xie Fan challenges conventional notions of painting, expanding its boundaries beyond the canvas into the realms of objecthood and spatial experience. His works respond to shifts in light, atmosphere, and touch, emphasizing their impermanence and connection to the natural world. By bridging tradition and experimentation, Xie creates a practice that is at once deeply rooted in history and radically open to the contingencies of the present.</p>","<p>“Painting as Event” (2025) merges Xie Fan’s painting practice with performative and communal elements, foregrounding its live dimension. During the day, limited servings of his signature mapo tofu are sold; each evening, he prepares and serves a full-course meal using ceramic vessels he has crafted. The exhibition situates his work within discourses of materiality, ritual, and impermanence.</p><p>At its core are thirty paintings on terracotta and six large sponge paintings installed across the stairwell and second floor of Bangkok Kunsthalle. Xie Fan’s engagement with terracotta, historically linked to functional craft and sacred traditions, reflects his interest in surface and light. Unlike canvas or wood, terracotta’s porous, earthen quality shapes the absorption and refraction of pigment. Mineral pigments and oxides are layered onto raw clay before firing, allowing organic interplay between color and material. The kiln’s high temperatures produce unpredictable chemical reactions, embedding chance and transformation into each work.</p><p>For Xie Fan, painting is a study of permeation, how pigment enters and settles into its support. Citing both Eastern and Western traditions, he emphasizes how brushstrokes or undercoats enable pigments to penetrate, adhere, and gain strength through absorption. Permeation becomes the foundation of painting’s force.</p><p>The sponge paintings extend this inquiry into palimpsest. Pigment distilled from red earth from Khao Yai Art Forest is layered over flora indigenous to the site, leaving stratified shadows embedded in the surface. The accumulation of pigment echoes cultural memory and history. Like terracotta, sponge absorbs and releases, retaining traces while resisting fixity, aligning his work with contemporary discourses on process and material agency.</p><p>Material specificity shapes perception. By day, natural light reveals subtle textures and tonal shifts; as the sun moves, the paintings evolve. At night, visitors carry candles, encountering the works through intimate, shifting light. The paintings are not simply an event but events themselves, activated by time and space.</p><p>“Painting as Event” challenges painting as a stable object, inviting viewers into a fluid experience where material and ritual merge. Through gastronomy, ceramics, painting, and light, Xie Fan proposes art as something inhabited, fleeting, and shared.</p>","Xie Fan, Painting as Event, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artist, Marguo, and Bangkok Kunsthalle. Photo by Panusorn Lertvananont / Puttisin Choojesroom.",1
Poetics of Horizontality,9 May,22 August,2025,"<p>Nalattaphorn Nanta (b. 2000, Thailand) explores the perspectives and emotional states experienced at different stages of life. Her practice examines how behavior and thought are shaped by family as the smallest yet most formative social unit. Through an evolving understanding of human emotion, she reflects on its causes and possible resolutions, seeking deeper insight into life. Her work often centers on the interplay of happiness and suffering, interpreting life’s complexities while offering an uplifting and encouraging presence to viewers.</p><p>Siriwan Simingam (b. 1998, Thailand) investigates the roles, mindsets, and complex relationships of women in contemporary society. She critiques the cultural expectations and pressures that persist despite increased intellectual freedom and self-determination. Initially combining sculptural and painterly techniques with doodle-like linework, her practice has developed into a distinctive Pop-Surrealist style, creating narrative characters that embody her reflections on female experience and social dynamics.</p>","<p>The exhibition “Poetics of Horizontality” (2025) by Nalattaphorn Nanta and Siriwan Simingam presents delicate stone grids across the third floor of Bangkok Kunsthalle. The work engages the building’s material memory, visibly marked by past fires. Through subtle spatial inscription, the artists map and interpret this altered architectural environment.</p><p>Fragments of cement and debris detached from ceilings and walls are retrieved from the site and repositioned along faint scorched shadows left by boxes that once occupied the floor. The configuration follows a loose yet resonant order, evoking the grid not as control but as a poetic framework for remembrance. The artists describe the gesture as creating their own “museum,” where value arises not from institutional authority but from care and attention.</p><p>The installation operates through three actions: collecting, arranging, and healing. By gathering fragments otherwise dismissed as rubble, the artists attribute value through attentive engagement, recalling archaeological processes of recovery. Arrangement is equally significant. The stones form ephemeral grids that function as archive and spatial reading, each fragment contributing to a latent order.</p><p>The work renders visible the building’s palimpsestic character, layered with temporalities and traces. The grid remains irregular, marked by gaps and imperfections that resist the idea of neutral space and affirm its entanglement with history and decay. Its fragility reinforces contingency. The stones are unsecured; a gust of wind or passing cat could disrupt the composition. This precariousness underscores the transient nature of all structures, formal or informal, subject to time and transformation.</p><p>At its core, the exhibition articulates a poetics of care and a politics of attention. Healing emerges through witnessing and quiet recomposition rather than erasure. Horizontality refers to what lies parallel to the horizon, the shifting boundary where sky and earth meet. Both perceptually real and elusive, the horizon frames phenomena while remaining absent. It limits and enables.</p><p>This framework informs Bangkok Kunsthalle’s broader research into material and spatial practices that attend to the ground. Within this lineage, “Poetics of Horizontality” becomes a modest yet profound act of spatial care, recalling forgotten order while opening renewal: to commemorate, and to begin again.</p>","Nalattaphorn Nanta and Siriwan Simingam, Poetics of Horizontality, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artists and Bangkok Kunsthalle. Photo by Puttisin Choojesroom / Krittapas Lersvananont.",1
This page is intentionally left _____.,13 June,17 August,2025,"<p>Yoonglai Collective (Thailand) brings together four Southeast Asian cultural practitioners—Nisa Jewcharoen, Rinrada Na Chiangmai, Awika Samukrsaman, and Parichat Tanapiwattanakul—on a shared journey to reflect on their cultural heritage and moments of departure from it. Rooted in a deep engagement with Southeast Asian narratives and shared origins, the collective explores the intersections of memory, identity, and regional belonging.</p><p>Named after a species native to Southeast Asia, Yoonglai symbolizes the collective’s mission: to pierce through the layered histories and cultural textures of the region, extract overlooked reflections and embedded ideas, and disseminate them to foster dialogue and discovery. Through this process, the collective seeks to reimagine a future shaped by individual agency and collective consciousness within a global context.</p>","<p>Yoonglai Collective was selected through Open Call “Cultivating The Art of Working with Space” to create a site-specific exhibition in the former Thai Watana Panich publishing house. Once central to Thailand’s knowledge production, this space printed textbooks, dictionaries, and official documents that shaped generations. Today, its burnt walls and quiet emptiness offer an invitation to reconsider the politics of publishing, authorship, and the making of centralized state knowledge.</p><p>As they explored the site’s history, they created a timeline that unearthed connections between publishing, language, and power in Thailand and Indonesia. While the contexts differ, the trajectory was shared: dictionaries as tools of a nation’s modernity, Cold War-era language control, and eventually, the internet’s transformation of language from the top-down to the bottom-up. Slang, localisms, and digital vernaculars emerged to challenge centralized narratives.</p><p>In this framework, Yoonglai Collective adopts the role of editor, not as a gatekeeper but as a facilitator who gathers fragments and invites new voices into a shared space. This approach unfolds in “The Editorial Room (Staff Only),” developed with Krack! Printmaking Collective. Traditionally a site of authority where language is approved or rejected, the editorial room is reimagined here as a publishing laboratory. Visitors access archival materials, timelines of language and politics, and a participatory AI-generated dictionary drawn from frequently used online words in Thailand and Indonesia between 2000 - 2025. This evolving dictionary reflects the shift from centralized authorship to collaborative production, inviting visitors to contribute entries.</p><p>Three other invited artists respond to the building’s memory in distinct ways. Nat Setthana transforms architectural remnants into a palimpsest of unseen labor. Anusorn Thanyapalit reimagines the contributor’s role through sound and braille, drawing from the legacy of S. Sethaputra to render authority into sensorial form. Theetat Thunkijjanukij reconstructs the S. Sethaputra dictionary not as a fixed monument but as an open draft.</p><p>By revisiting a space of printed knowledge, the exhibition offers a meditation on memory, authorship, and the evolving nature of publishing. It asks: in an era of fragmented communication, what does it mean to write, edit, and share meaning—collectively?</p>","Yoonglai Collective, This page is intentionally left _____, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the curators, artists, and Bangkok Kunsthalle. Photo by Puttisin Choojesroom / Samatcha Apaisuwan.",1
Mitta del Santi,26 September 2025,8 February 2026,2025-2026,"<p>Ploenchan Vinyaratn (b. 1972, Thailand) is acclaimed for transforming fiber into a medium of environmental urgency. Long before sustainability became a global imperative, she pioneered a zero-waste practice, turning discarded materials—aluminium ribbons, plastics, fishing nets, cassette tapes—into large-scale installations that interrogate ecological fragility and humanity’s troubled relationship with nature. Celebrated for her dual role as artist and environmental advocate, she received the Angela Award for Lifetime Achievement in 2024. Her works appear in major collections across Thailand and have been exhibited internationally, including Singapore, Korea, Greece, and the United States.</p>","<p>“Mitta del Santi” (2025), a site-specific textile installation by Ploenchan Vinyaratn, responds to the history of Bangkok Kunsthalle, formerly the Thai Watana Panich publishing house. Fabric remnants are cut into circular forms echoing the printing house’s logo of three interlocking circles. A total of 399 circles are imprinted with words drawn from children’s educational books once produced there. Reassembled, these textual fragments are rewoven into a new narrative, transforming the memory of the site into a living story.</p><p>Here, weaving becomes a method of world-making: threads, people, and histories interlaced into forms larger than themselves. The exhibition aligns with the Kunsthalle and Khao Yai Art Forest’s ethos of site-specificity, ecological awareness, and community participation.</p><p>The installation unfolds as a participatory practice. Vinyaratn deconstructs and reassembles looms to produce monumental textiles beyond conventional frameworks. Central to this process is her invitation to Thai women, many of them longtime collaborators, to join in the making. Through collective labor, weaving becomes both craft and community. Fragments of earlier works are reimagined and reassembled, allowing forms, textures, and colors to reconnect in unexpected ways. These are not remnants but continuations, materials beginning again with purpose and grace.</p><p>Often using repurposed materials such as cassette tape, fishing nylon, brass strings, and Lurex yarn, Vinyaratn creates tactile narratives of memory, ecology, and shared experience. Her works interrogate urban history, consumption, and waste, while their flat surfaces expand and adapt architecturally across floors and walls. At its core, her distinctive formal language endures.</p><p>Weaving, with warp and weft constantly shifting in relation to one another, becomes a metaphor for connection, collaboration, and care. This ethos extends to “Mitta in Practice”, a hands-on workshop inviting participants to transform discarded materials into new stories.</p><p>In reconfiguring looms as ritual and architecture, Vinyaratn affirms textile’s power to embody resilience, collaboration, and collective imagination.</p>","Ploenchan Vinyaratn, Mitta del Santi, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Warun Wanapaiboon.",1
Vernacular Objects,27 November 2025,15 March 2026,2025-2026,"<p>Mark Chearavanont (b. 1997, Thailand) is a curator at Bangkok Kunsthalle. He graduated from Harvard University with a degree in Art History, with a focus on Buddhist Art. His interests range from musicology to archaeology to theology, his curatorial practice draws from historical inquiry while engaging contemporary methodologies and experimental frameworks.</p><p>At Bangkok Kunsthalle, he has curated exhibitions including “Like Nouns Slipping Into Verbs” (2025) by Richard Nonas and “Calligraphic Abstraction” (2025) by Tang Chang.</p>","<p>“Vernacular Objects” (2025) presents a body of readymades collected from the vicinity of Bangkok Kunsthalle. These objects exemplify a form of material culture local to the Yaowarat area—improvised constructions meant to function purely as parking space holders. A form of extreme pragmatism, the objects materialize as abstract assemblages. Context is key here. In situ, the object serves the clear function of marking space, marking territory. Within the context of the Kunsthalle however, the objects take on new meaning not only as aesthetic objects, but as cultural artifacts.</p><p>These abstruse constructions become legible through the analogy of language: a “vocabulary” is formed by the materials that constitute the objects, the nonchalant, ad hoc method of construction serves as a form of “grammar” or “syntax”, the resulting objects forming vague “phrases”. By grouping these objects together as a field, these disjointed utterances begin to form coherent “sentences” and “paragraphs”—a body of objects suddenly becomes a body of text. A codified “language” emerges, more specifically a localized “dialect” or “vernacular” of Yaowarat.</p><p>The Yaowarat area is a compound of neighborhoods, some residential, others specializing in particular trades or materials. Extending the linguistic analogy, these objects reference the neighborhood from which they originated through vocabulary/materiality and grammar/construction. For example, two tires bound by plastic strings reveal their provenance—a motorcycle repair shop on Santhipap Road. A rounded sheet of acrylic points to the sign shops around the July 22nd Roundabout. Combinations of broken fans, milk bottles, and plastic stools become assembled still lifes, portraits of domesticity.</p><p>This dialect manifests not as rigid prose, but rather as loose poetic expressions or physical haikus. When placed in dialogue they form a static choreography of gesture and cultural expression.</p><p>Throughout the period of the exhibition, the field of objects was reconfigured. This series of interventions operates on two levels: first it mirrors the malleability of language, forming new “sentences” and meanings through iterative recomposition. On another level, this act challenges the notion of art objects as formal, sacred and fixed, reminding the viewer of their original function, informal space holders that were constantly handled and repositioned.</p>","Mark Chearavanont, Vernacular Objects, 2025. Installation view, Bangkok Kunsthalle. Courtesy of the curator and Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn.",1
